productoid,nombre,referencia,ean13,ingreso,costo,contribucion,ventana_dias,servidor_sync
"026147","NAZIL OFTENO 0.1% FCO 5ML","100026724","0736085416237",11000.0000,9161.0000,1839.0000,30,"192.168.123.231"
"002372","FRESCO FRUTIÑO 10G DISX24U","","7702354948467",11000.0000,7699.9846,3300.0154,30,"192.168.123.231"
"019745","GRAN AROMA 10G FINAS HIERBAS MOLIDA","","7707313090430",11000.0000,7486.6704,3513.3296,30,"192.168.123.231"
"002063","NUCITA 108G 6U","","7702011021939",11000.0000,7395.3800,3604.6200,30,"192.168.123.231"
"024097","GOMAS GRISLY 70G MUNDO MARINO","","7702011129345",11000.0000,6987.9805,4012.0195,30,"192.168.123.231"
"023817","GOMAS GRISLY 73G DELFIN","","7702011129338",11000.0000,6888.3216,4111.6784,30,"192.168.123.231"
"000456","DRAMAMINE 50MG 12TAB CJAX24TAB","100024280","7501007532608",10990.0000,9601.8400,1388.1600,30,"192.168.123.231"
"029339","VIGRETA GOURME 250G ESPE NATU CLASI","29339","7702109737056",10950.0000,7411.7917,3538.2083,30,"192.168.123.231"
"029229","PASTA TASK BANO 144G 3U","29229","7703147024320",10900.0000,7515.0000,3385.0000,30,"192.168.123.231"
"018756","ALMENDRA SOLSEMILLA 200G","","7707332230350",10900.0000,7478.9677,3421.0323,30,"192.168.123.231"
"029330","MANI DARVIDA ALMEN MARAN 180G","29330","7702020043168",10900.0000,7153.0000,3747.0000,30,"192.168.123.231"
"005103","CEPILLO DENTAL WHOLEFRESH DOBLE ACCION ICOM 2U","200013387","7704768004616",10850.0000,3978.8808,6871.1192,30,"192.168.123.231"
"026623","AZUCAR MANUELITA 1LB PULVERIZADA","","7702406442288",10800.0000,9197.9151,1602.0849,30,"192.168.123.231"
"027603","SAL SUDESPENSA 250G HIMALAYA","","7707309259230",10800.0000,9000.0000,1800.0000,30,"192.168.123.231"
"030457","LAPIZ OFFI-ES NEGR JUM CAND 12U OE160","27017","7709492484543",10800.0000,9000.0000,1800.0000,30,"192.168.123.231"
