REF,UNIDAD,MEDIDA,CANTIDAD
3469,UND,Mililitro,1000
137,PAQ,Gramo,125
23662,PAQ,Gramo,250
6851,CJA,Gramo,120
6852,CJA,Gramo,60
6836,CJA,Gramo,90
26189,UND,Gramo,4500
16218,PAQ,Gramo,4000
19455,BSA,Gramo,10
19439,BSA,Gramo,4
21551,BSA,Gramo,4800
22824,PAQ,Gramo,4800
26817,BSA,Gramo,4000
7172,PAQ,Mililitro,270
8646,PAQ,Gramo,350
7171,PAQ,Gramo,400
7576,PAQ,Gramo,400
23496,PAQ,Gramo,300
18532,UND,Gramo,330
18531,UND,Gramo,400
18550,PAQ,Gramo,450
17095,UND,Gramo,500
17173,UND,Gramo,500
18530,UND,Gramo,500
21740,PAQ,Gramo,800
15346,PAQ,Gramo,380
7170,PAQ,Gramo,780
18042,UND,Gramo,450
17497,UND,Gramo,240
17498,UND,Gramo,350
17499,UND,Gramo,350
17495,UND,Gramo,360
18749,UND,Gramo,240
17496,UND,Gramo,480
23601,PAQ,Gramo,500
22044,PAQ,Gramo,500
23617,PAQ,Gramo,500
22042,PAQ,Gramo,500
22043,PAQ,Gramo,500
22045,PAQ,Gramo,800
26425,PAQ,Gramo,900
24697,UND,Gramo,450
24696,UND,Gramo,450
8207,PAQ,Gramo,400
12330,UND,Gramo,1000
4790,PAQ,Gramo,360
11585,PAQ,Gramo,700
11297,UND,Gramo,220
3042,UND,Gramo,250
3043,UND,Gramo,500
21601,OFE,Gramo,50
10132,UND,Gramo,220
26699,UND,Gramo,50
11736,UND,Gramo,220
11036,UND,Gramo,250
21035,CJA,Gramo,140
11511,CJA,Gramo,140
10375,CJA,Gramo,168
21036,CJA,Gramo,140
4175,UND,Gramo,18
4176,UND,Gramo,18
4330,UND,Gramo,18
4174,UND,Gramo,18
21510,UND,Gramo,30
22868,UND,Gramo,12
5212,CJA,Gramo,150
5213,CJA,Gramo,150
21767,UND,Gramo,175
23477,PAQ,Gramo,11500
20218,BSA,Gramo,3000
18952,BSA,Gramo,460
18951,BSA,Gramo,5000
19325,UND,Gramo,1000
14610,UND,Gramo,500
6314,UND,Gramo,500
14856,UND,Gramo,1000
15907,UND,Gramo,1000
2742,UND,Gramo,1000
11821,UND,Gramo,1000
15906,UND,Gramo,1000
2744,UND,Gramo,500
25762,UND,Gramo,1500
12363,UND,Gramo,2500
23455,ARR,Gramo,12500
12759,OFE,Gramo,2500
26303,UND,Gramo,3000
2741,UND,Gramo,3000
24897,UND,Gramo,460
24107,UND,Gramo,4000
20761,UND,Gramo,500
24215,UND,Gramo,5500
4151,UND,Gramo,5000
2743,UND,Gramo,1000
21608,UND,Gramo,2000
2954,UND,Gramo,1000
2953,UND,Gramo,3000
21996,UND,Gramo,5000
2955,UND,Gramo,1000
2958,UND,Gramo,1000
18278,PAQ,Gramo,1000
2956,UND,Gramo,500
23621,CJA,Gramo,500
21995,UND,Gramo,2500
